surface_m2,nb_pieces,etage,ascenseur,temps_metro,annee_construction,quartier,balcon_terrasse_m2,etat_bien,stationnement,prix_eur
18,1,15,1,8,1954,Monplaisir,9,neuf,1,146200
128,6,9,0,5,2011,Presqu'île,6,bon,0,930900
96,4,9,1,6,1964,Part-Dieu,2,à rénover,1,534500
37,2,2,0,3,1947,Presqu'île,0,à rénover,0,215300
61,2,8,0,5,2025,Confluence,9,neuf,1,467500
58,3,13,1,2,1958,Presqu'île,4,bon,0,425100
40,2,2,0,6,1958,Part-Dieu,2,bon,0,238400
43,2,7,1,7,1963,Croix-Rousse,4,bon,1,293100
72,3,14,0,5,1952,Presqu'île,7,à rénover,0,446700
35,1,4,0,9,2025,Confluence,7,bon,1,238900
30,1,6,0,7,2025,Confluence,8,à rénover,1,203400
28,1,7,1,7,2025,Confluence,6,neuf,1,222700
138,7,1,0,8,2012,Confluence,2,bon,1,845500
37,2,5,1,6,1915,Vieux Lyon,2,à rénover,0,189200
26,1,15,1,2,1911,Presqu'île,8,bon,0,196500
48,2,0,0,10,1922,Croix-Rousse,3,neuf,0,298300
48,2,15,0,6,2015,Presqu'île,9,neuf,0,393700
54,2,1,0,8,1943,Monplaisir,1,bon,0,298300
103,4,3,0,4,1946,Presqu'île,5,à rénover,0,603800
36,2,12,0,8,1974,Monplaisir,1,bon,1,238400
18,1,14,1,6,1886,Presqu'île,10,à rénover,0,117500
42,2,11,0,9,2018,Confluence,11,neuf,1,319000
18,1,11,1,5,2010,Confluence,9,neuf,1,158200
71,3,15,0,4,1984,Part-Dieu,11,bon,1,502900
18,1,6,0,4,1994,Part-Dieu,3,neuf,1,142300
57,2,12,0,5,1951,Vieux Lyon,5,bon,0,373900
119,6,14,1,3,2012,Part-Dieu,7,bon,1,855700
112,5,0,0,7,1926,Croix-Rousse,0,à rénover,0,568500
45,2,14,1,6,1981,Monplaisir,2,bon,0,293600
46,2,8,0,7,1971,Monplaisir,1,bon,0,276100
58,3,0,0,6,1943,Vieux Lyon,3,bon,0,356100
30,1,4,0,9,1956,Croix-Rousse,8,bon,0,198700
98,4,4,0,8,1962,Croix-Rousse,0,à rénover,0,523200
43,2,4,0,8,1934,Croix-Rousse,2,bon,0,268000
51,3,4,0,6,2003,Part-Dieu,1,bon,1,335300
30,2,11,0,5,2003,Part-Dieu,6,neuf,1,233300
30,2,11,1,8,1985,Croix-Rousse,6,neuf,1,239500
53,2,12,1,6,1977,Croix-Rousse,4,bon,1,375600
41,2,1,0,7,1980,Confluence,0,à rénover,0,217100
57,3,0,0,8,1965,Vieux Lyon,0,bon,0,345200
148,7,2,1,9,1963,Croix-Rousse,0,neuf,0,971500
62,3,13,1,2,1991,Part-Dieu,8,à rénover,1,393800
48,2,6,0,7,2025,Monplaisir,2,neuf,1,337900
26,1,14,1,5,2025,Monplaisir,12,neuf,1,219300
24,1,15,0,9,1933,Croix-Rousse,7,à rénover,0,143600
18,1,9,0,6,2007,Part-Dieu,6,bon,1,140900
39,2,3,0,10,2007,Monplaisir,4,bon,1,247200
40,2,11,0,7,1949,Croix-Rousse,8,à rénover,0,234800
33,1,13,1,3,1978,Part-Dieu,2,bon,1,237200
66,3,7,0,6,1972,Part-Dieu,0,bon,0,408100
47,2,12,0,7,2023,Confluence,9,bon,1,350500
18,1,7,0,5,1984,Part-Dieu,5,à rénover,1,118100
84,4,5,0,4,1990,Part-Dieu,6,neuf,0,573800
200,7,13,0,8,1979,Croix-Rousse,15,bon,1,1375400
83,3,4,0,7,1978,Croix-Rousse,1,bon,0,541500
48,3,2,0,10,1997,Confluence,5,bon,0,293100
62,3,7,0,4,1954,Vieux Lyon,0,à rénover,0,344300
85,4,8,0,4,1986,Part-Dieu,3,neuf,0,583600
35,2,2,0,6,1960,Vieux Lyon,0,bon,0,216800
76,4,2,0,2,1983,Part-Dieu,2,neuf,0,506400
45,2,0,0,7,1930,Vieux Lyon,0,à rénover,0,226100
48,2,5,0,3,1962,Presqu'île,3,bon,0,332300
61,3,5,1,8,1931,Croix-Rousse,3,à rénover,1,350800
75,3,6,0,8,1980,Croix-Rousse,2,à rénover,1,442900
18,1,2,0,9,1892,Vieux Lyon,0,neuf,0,108500
55,2,14,0,6,1978,Presqu'île,3,bon,0,389200
77,4,14,0,9,1936,Croix-Rousse,1,bon,0,481500
104,6,10,0,7,1997,Part-Dieu,1,bon,1,682400
18,1,13,0,4,1974,Part-Dieu,4,à rénover,0,108100
92,4,5,0,6,1952,Part-Dieu,2,bon,1,565800
72,3,0,0,1,1992,Presqu'île,0,bon,0,515900
51,2,3,0,9,1923,Croix-Rousse,5,bon,0,310800
31,1,10,0,5,1901,Vieux Lyon,3,à rénover,0,167800
27,1,0,0,4,1903,Presqu'île,0,neuf,0,181300
42,2,9,1,6,1903,Vieux Lyon,9,bon,0,270300
31,1,2,0,4,2025,Part-Dieu,5,neuf,1,233000
60,3,13,1,6,1945,Croix-Rousse,4,bon,0,392300
83,3,12,0,7,1968,Monplaisir,4,bon,0,508900
32,1,12,0,7,1972,Presqu'île,2,bon,0,222000
47,2,12,0,6,2023,Confluence,12,bon,0,337200
30,1,3,0,6,2009,Monplaisir,0,bon,1,192400
39,2,1,0,10,1921,Monplaisir,2,à rénover,0,169700
57,2,6,1,9,1915,Croix-Rousse,4,à rénover,0,298200
57,2,8,0,6,1956,Croix-Rousse,1,à rénover,0,321400
41,2,1,0,8,2025,Confluence,0,bon,1,263200
41,2,6,0,5,1985,Presqu'île,2,neuf,0,313100
18,1,15,1,5,1963,Presqu'île,12,à rénover,1,144000
119,6,14,0,8,1941,Croix-Rousse,7,à rénover,1,695100
38,2,13,0,6,1944,Croix-Rousse,7,bon,0,262700
34,2,4,0,5,1959,Presqu'île,0,bon,0,228000
20,1,12,0,2,1914,Vieux Lyon,7,bon,0,144800
18,1,11,0,9,1974,Croix-Rousse,10,à rénover,1,132000
55,2,15,1,7,1983,Confluence,11,bon,0,380000
41,2,3,0,6,2017,Confluence,7,neuf,1,302700
130,6,14,1,4,1988,Presqu'île,8,bon,0,970000
44,2,10,1,3,1957,Part-Dieu,0,à rénover,0,238900
37,2,14,1,7,1958,Croix-Rousse,9,neuf,0,276300
38,2,5,0,7,1940,Croix-Rousse,0,neuf,0,256700
67,3,2,0,7,1955,Croix-Rousse,2,bon,1,430900
67,3,8,1,5,1943,Part-Dieu,1,bon,0,408500
69,3,10,1,10,1961,Monplaisir,1,bon,1,408800
28,1,7,0,3,1967,Presqu'île,3,bon,0,200400
69,3,8,1,5,1921,Croix-Rousse,1,bon,0,437400
27,1,11,0,8,1961,Vieux Lyon,3,à rénover,0,154300
64,3,1,0,8,1936,Croix-Rousse,0,bon,0,389100
43,2,1,0,3,1972,Part-Dieu,8,bon,1,292800
53,3,15,1,6,1954,Part-Dieu,3,bon,0,350000
21,1,9,1,6,1948,Presqu'île,2,à rénover,0,130300
21,1,15,0,4,1977,Presqu'île,4,neuf,1,185500
33,1,10,0,5,1975,Presqu'île,4,à rénover,1,221500
27,1,11,1,5,1955,Presqu'île,7,bon,0,204100
29,1,9,0,6,1957,Vieux Lyon,3,bon,0,191100
46,2,15,0,7,1954,Part-Dieu,8,bon,0,300200
72,4,5,0,6,1921,Vieux Lyon,8,à rénover,0,386100
34,1,15,0,7,1992,Part-Dieu,6,neuf,1,259400
128,5,11,0,6,2004,Monplaisir,2,bon,1,840500
101,5,12,0,7,1977,Confluence,7,bon,1,670600
78,4,6,1,6,1961,Presqu'île,0,à rénover,0,458600
49,2,3,0,6,1988,Part-Dieu,6,neuf,1,351900
60,2,7,0,8,1923,Vieux Lyon,3,à rénover,0,306000
85,4,6,0,7,1998,Part-Dieu,5,bon,0,541900
49,3,8,0,8,1957,Vieux Lyon,1,à rénover,0,262400
24,1,6,0,9,1973,Croix-Rousse,1,bon,0,157500
78,3,14,0,7,1968,Monplaisir,6,bon,0,482600
64,3,9,0,9,1922,Croix-Rousse,0,bon,0,386400
28,1,9,0,4,1993,Presqu'île,5,bon,0,208200
35,2,15,1,5,2012,Part-Dieu,7,bon,1,257600
46,2,12,1,4,2025,Part-Dieu,9,bon,1,343700
43,2,11,0,6,1900,Croix-Rousse,5,bon,0,276600
40,2,15,0,5,1994,Presqu'île,6,à rénover,0,274100
29,1,9,0,4,1961,Presqu'île,4,à rénover,1,200100
59,3,8,0,6,1972,Croix-Rousse,0,à rénover,1,346700
112,5,14,1,6,1975,Part-Dieu,5,à rénover,0,641300
18,1,5,0,7,1953,Croix-Rousse,0,à rénover,0,97600
200,7,15,1,8,2010,Confluence,14,neuf,1,1469700
56,3,4,0,8,1929,Vieux Lyon,0,à rénover,0,286800
31,2,14,1,6,1993,Monplaisir,8,à rénover,0,186400
52,2,1,0,11,1970,Monplaisir,0,bon,0,282300
18,1,8,0,8,1945,Croix-Rousse,2,bon,0,115100
35,2,15,0,8,1962,Croix-Rousse,6,à rénover,0,212200
49,2,13,0,7,1932,Vieux Lyon,9,bon,0,319900
18,1,5,0,3,1944,Presqu'île,1,à rénover,0,105700
52,2,15,0,6,1949,Monplaisir,5,à rénover,1,292100
23,1,13,1,6,1942,Croix-Rousse,6,à rénover,0,142100
74,4,5,0,4,1990,Part-Dieu,2,bon,1,485100
18,1,1,0,6,1938,Vieux Lyon,2,bon,0,113200
94,4,12,1,5,2012,Monplaisir,2,bon,0,624800
108,5,4,0,7,1968,Vieux Lyon,6,à rénover,0,585700
49,2,7,0,8,1955,Croix-Rousse,0,bon,1,334200
35,2,11,0,6,2021,Confluence,14,bon,1,269000
69,3,15,1,3,1969,Presqu'île,0,bon,0,506100
33,2,11,0,9,1942,Monplaisir,5,bon,0,195200
18,1,0,0,8,2005,Croix-Rousse,0,bon,1,133100
129,6,6,0,11,1921,Monplaisir,2,à rénover,0,569300
28,1,15,0,8,1945,Croix-Rousse,7,à rénover,0,167900
49,2,3,1,9,2010,Confluence,5,neuf,1,355500
21,1,13,0,10,1905,Croix-Rousse,4,à rénover,0,112400
46,2,1,0,6,1971,Monplaisir,1,bon,0,269800
83,4,11,1,9,1952,Croix-Rousse,8,bon,0,532600
58,3,10,0,3,2019,Part-Dieu,8,à rénover,1,373200
35,2,3,0,8,1981,Confluence,0,neuf,1,239000
19,1,2,0,8,2025,Confluence,2,à rénover,1,120600
50,2,11,1,6,1927,Vieux Lyon,9,bon,0,325300
62,3,10,0,8,2021,Confluence,7,neuf,0,449500
41,2,10,0,6,2006,Confluence,9,bon,0,280000
33,2,4,0,9,2025,Confluence,5,bon,1,233300
18,1,13,1,9,1956,Croix-Rousse,4,bon,0,124300
31,1,8,0,6,1949,Vieux Lyon,4,à rénover,0,173600
43,2,15,1,10,1952,Monplaisir,6,bon,0,265600
43,2,6,1,9,2018,Confluence,11,neuf,1,326500
27,1,11,1,6,1947,Monplaisir,6,à rénover,0,148200
97,4,6,0,6,1892,Vieux Lyon,0,à rénover,0,488000
35,1,1,0,5,1976,Part-Dieu,6,bon,1,234700
33,1,0,0,6,1951,Croix-Rousse,0,neuf,0,219600
35,2,3,0,7,1935,Croix-Rousse,2,bon,0,213200
52,2,2,0,4,1987,Part-Dieu,2,bon,0,320800
27,1,6,0,6,1974,Vieux Lyon,0,bon,0,175900
32,2,13,1,6,1978,Presqu'île,7,bon,0,245500
35,2,5,0,8,1980,Monplaisir,0,bon,1,214600
28,1,3,1,9,1973,Monplaisir,3,bon,0,164400
110,5,4,0,6,1914,Vieux Lyon,7,bon,0,659400
49,2,5,0,9,2005,Confluence,7,bon,1,327200
27,1,12,0,5,1965,Monplaisir,4,bon,0,170700
94,4,12,0,5,1912,Presqu'île,3,bon,0,629000
18,1,3,0,5,1992,Part-Dieu,6,bon,0,121400
55,2,11,1,7,1905,Vieux Lyon,2,bon,0,340300
27,1,9,0,5,1998,Part-Dieu,10,bon,1,205200
79,3,3,0,8,1965,Croix-Rousse,0,à rénover,1,424800
79,4,10,0,5,2003,Monplaisir,8,bon,0,507400
45,2,10,0,6,1996,Presqu'île,5,bon,0,328200
42,2,12,0,5,1993,Part-Dieu,6,bon,0,288600
67,3,6,1,7,1928,Vieux Lyon,5,bon,0,419400
48,2,6,1,5,1909,Presqu'île,1,à rénover,0,276000
29,1,13,0,10,1969,Croix-Rousse,0,bon,0,192900
35,2,9,1,6,1982,Monplaisir,0,bon,1,230100
67,3,1,0,11,2000,Confluence,3,neuf,0,432600
20,1,7,1,7,2011,Croix-Rousse,5,bon,1,157000
27,1,10,1,7,1975,Monplaisir,3,bon,1,181800
31,1,14,0,6,2017,Part-Dieu,11,neuf,1,253200
51,2,11,1,7,1932,Croix-Rousse,0,à rénover,0,293900
35,2,15,1,6,1986,Part-Dieu,10,neuf,1,274800
64,3,11,0,7,1945,Vieux Lyon,1,à rénover,0,343300
76,3,2,0,11,2016,Confluence,6,à rénover,1,410200
32,2,15,0,7,1997,Part-Dieu,8,à rénover,1,208100
45,2,0,0,9,1924,Vieux Lyon,0,à rénover,0,216700
40,2,13,1,9,2002,Confluence,6,bon,1,295000
53,2,2,0,8,1996,Croix-Rousse,4,bon,1,347900
54,3,3,0,5,1996,Part-Dieu,8,neuf,1,387400
48,2,14,1,3,1960,Presqu'île,5,à rénover,0,324300
33,2,3,0,5,1975,Part-Dieu,0,bon,1,221300
30,1,11,0,9,1977,Croix-Rousse,11,bon,1,226000
66,3,8,0,8,2011,Confluence,2,neuf,1,469500
143,6,8,0,4,1996,Part-Dieu,6,neuf,1,1004900
66,3,5,0,4,1978,Part-Dieu,3,bon,1,431400
51,3,14,1,4,1986,Part-Dieu,6,bon,1,356100
82,3,5,0,6,1891,Vieux Lyon,3,à rénover,0,416300
20,1,1,0,6,1931,Croix-Rousse,0,bon,0,120500
91,4,3,1,10,1964,Croix-Rousse,5,à rénover,0,488700
72,3,4,0,6,1928,Monplaisir,2,à rénover,0,344500
48,2,9,1,7,1984,Part-Dieu,8,neuf,1,355900
25,1,15,1,8,1926,Monplaisir,6,à rénover,0,136500
47,2,4,1,3,1958,Presqu'île,0,à rénover,0,276300
76,3,1,0,4,1991,Part-Dieu,1,neuf,1,527500
34,1,9,0,7,1985,Croix-Rousse,4,bon,1,245800
57,3,7,0,4,1965,Presqu'île,5,bon,0,403600
53,2,5,0,9,1938,Vieux Lyon,8,bon,0,329900
59,3,0,0,3,1905,Vieux Lyon,5,bon,0,357500
52,2,8,0,4,2020,Part-Dieu,9,neuf,1,393400
48,2,6,1,7,1932,Croix-Rousse,7,bon,0,313600
73,3,3,0,6,1909,Vieux Lyon,1,bon,0,437300
31,1,11,1,5,1945,Vieux Lyon,4,bon,0,211300
65,3,7,0,7,1881,Vieux Lyon,3,neuf,0,386500
57,3,15,1,5,1977,Part-Dieu,6,bon,1,402900
28,1,8,0,3,1963,Presqu'île,7,bon,0,213300
39,2,13,0,5,2025,Part-Dieu,4,bon,1,285300
79,4,5,0,6,1957,Part-Dieu,0,bon,0,472300
22,1,13,0,6,1977,Croix-Rousse,0,à rénover,0,127900
25,1,2,0,9,1983,Confluence,7,bon,1,174100
50,2,11,1,6,1998,Part-Dieu,11,bon,1,353300
34,2,7,0,3,1974,Presqu'île,5,bon,0,249700
46,2,15,1,4,2008,Monplaisir,9,bon,1,337800
28,1,8,1,9,1988,Croix-Rousse,0,bon,0,187500
25,1,1,0,6,1997,Part-Dieu,4,neuf,1,185400
52,2,9,0,6,1937,Presqu'île,1,bon,0,349800
53,2,3,0,2,1935,Part-Dieu,0,neuf,0,338800
23,1,9,1,6,1936,Vieux Lyon,0,à rénover,0,127900
66,3,8,0,9,2025,Confluence,3,neuf,1,481000
43,2,8,0,8,1983,Monplaisir,8,à rénover,1,245400
62,3,8,0,7,1983,Part-Dieu,4,bon,0,382500
44,2,10,1,11,2000,Confluence,6,neuf,1,325700
55,3,12,0,8,1956,Vieux Lyon,0,bon,0,350500
68,3,6,1,4,1985,Vieux Lyon,4,neuf,1,518500
43,2,0,0,1,1961,Presqu'île,3,à rénover,0,255900
27,1,9,0,10,1985,Confluence,4,bon,1,185800
20,1,15,1,7,1971,Monplaisir,7,bon,0,134800
71,3,1,0,6,1977,Confluence,0,à rénover,1,385100
18,1,4,0,6,1924,Vieux Lyon,0,à rénover,0,93200
136,6,3,0,3,1973,Presqu'île,1,à rénover,0,813500
87,4,5,0,8,1959,Croix-Rousse,3,bon,0,554000
107,5,6,0,3,1980,Part-Dieu,0,bon,1,690700
63,3,3,0,7,2025,Confluence,4,bon,1,420700
50,2,11,1,7,1985,Croix-Rousse,7,neuf,1,394900
93,4,9,0,5,1958,Monplaisir,6,bon,1,592000
48,2,3,0,6,1953,Croix-Rousse,0,bon,0,301400
69,3,11,0,5,2025,Confluence,10,bon,1,505000
65,3,14,0,8,1981,Confluence,8,bon,0,425300
77,3,10,1,4,1978,Presqu'île,0,bon,0,560700
18,1,0,0,5,2013,Part-Dieu,1,neuf,1,138700
25,1,9,0,7,1946,Vieux Lyon,3,bon,0,165100
29,2,12,1,6,1941,Croix-Rousse,6,à rénover,0,176400
43,2,3,0,7,1992,Confluence,2,bon,1,289700
23,1,12,1,4,1914,Vieux Lyon,1,bon,0,145700
47,2,5,1,5,2025,Presqu'île,2,à rénover,1,328500
42,2,11,0,4,1953,Presqu'île,0,à rénover,0,257400
71,3,10,0,11,1963,Confluence,3,bon,0,435600
41,2,2,0,3,1927,Vieux Lyon,0,à rénover,0,213400
28,1,5,0,8,1980,Monplaisir,5,bon,0,174000
27,1,15,0,4,1972,Presqu'île,8,bon,0,210400
57,3,2,0,7,2003,Croix-Rousse,0,neuf,1,418900
35,2,7,0,5,2005,Presqu'île,8,neuf,1,289000
59,2,9,0,6,1991,Vieux Lyon,0,à rénover,0,350100
19,1,14,1,7,2005,Part-Dieu,8,neuf,1,159900
33,2,14,0,8,2014,Confluence,7,bon,1,248800
69,3,9,0,2,1988,Part-Dieu,7,bon,1,473900
79,4,15,1,9,1980,Monplaisir,4,neuf,0,534400
55,3,13,1,5,1906,Vieux Lyon,2,à rénover,0,302000
92,4,3,0,6,1998,Presqu'île,0,neuf,0,690400
32,1,1,1,5,1925,Part-Dieu,0,neuf,0,201700
38,2,4,0,6,1945,Vieux Lyon,3,à rénover,0,208400
103,4,12,1,3,2025,Part-Dieu,14,bon,1,756500
28,1,15,1,7,1963,Monplaisir,2,neuf,1,204900
20,1,13,0,7,1918,Vieux Lyon,10,neuf,0,149900
50,2,2,0,6,1924,Vieux Lyon,0,à rénover,0,250300
48,2,9,0,4,1941,Presqu'île,5,neuf,0,355400
32,2,1,0,10,2011,Confluence,3,neuf,0,212300
141,6,2,0,5,2013,Part-Dieu,8,bon,1,939100
66,3,13,1,4,1943,Monplaisir,6,à rénover,0,368200
31,1,13,0,6,1987,Monplaisir,6,bon,1,219600
52,2,1,0,3,1971,Part-Dieu,4,bon,0,327500
69,3,1,0,8,1907,Vieux Lyon,3,bon,0,390300
54,2,2,0,4,1965,Part-Dieu,0,bon,1,343500
18,1,11,0,5,1898,Vieux Lyon,0,bon,0,109500
44,2,14,1,7,1913,Croix-Rousse,4,neuf,0,308300
26,1,9,1,5,1981,Part-Dieu,0,neuf,1,189500
28,1,1,0,9,1994,Confluence,2,bon,1,188200
75,3,8,1,7,2025,Confluence,8,neuf,1,561100
103,5,12,1,8,2009,Croix-Rousse,8,bon,1,737700
124,6,3,0,6,1943,Vieux Lyon,0,neuf,0,823700
35,2,13,0,4,1949,Presqu'île,6,à rénover,0,224100
50,2,13,1,4,1983,Presqu'île,6,bon,0,381400
51,2,5,0,10,2021,Confluence,1,neuf,1,358300
182,7,10,1,9,1946,Croix-Rousse,0,à rénover,0,993800
25,1,14,0,7,1949,Vieux Lyon,3,à rénover,0,140400
44,2,14,1,6,1904,Vieux Lyon,2,à rénover,0,240900
45,2,0,0,8,1966,Monplaisir,0,à rénover,1,226900
18,1,14,1,6,1971,Monplaisir,6,bon,1,137100
26,1,10,0,3,1916,Presqu'île,5,bon,0,178500
68,3,13,0,9,1979,Monplaisir,4,bon,0,417000
27,1,14,1,8,2014,Part-Dieu,12,neuf,1,225700
35,2,12,0,6,1918,Presqu'île,5,bon,0,237800
42,2,12,0,7,1981,Croix-Rousse,6,neuf,1,332300
56,3,5,0,4,1965,Presqu'île,2,à rénover,0,342000
43,2,13,0,7,2012,Confluence,8,neuf,1,335800
39,2,8,0,7,1989,Monplaisir,3,neuf,0,258000
54,2,4,0,11,1949,Croix-Rousse,5,bon,0,338800
126,7,12,1,5,1994,Presqu'île,13,bon,0,941400
189,7,14,1,6,1988,Part-Dieu,7,neuf,1,1358200
82,3,9,1,8,1948,Croix-Rousse,4,à rénover,0,457900
37,2,9,0,7,1975,Presqu'île,6,à rénover,1,249600
88,4,9,1,7,1961,Vieux Lyon,0,à rénover,0,495300
91,4,6,0,9,1993,Monplaisir,4,bon,0,554300
28,2,3,0,6,1974,Part-Dieu,4,bon,0,176600
26,1,8,0,3,2025,Part-Dieu,9,bon,1,200300
54,2,3,0,8,1971,Confluence,2,bon,0,325700
92,4,7,0,1,1962,Presqu'île,2,bon,0,649600
49,2,4,0,8,2019,Monplaisir,1,bon,1,308200
18,1,15,0,7,1969,Monplaisir,4,à rénover,1,114400
120,6,6,0,7,1957,Monplaisir,0,à rénover,1,600100
31,1,2,0,6,1980,Vieux Lyon,4,neuf,1,231400
55,3,4,0,6,1978,Part-Dieu,0,bon,1,349500
52,2,7,0,7,2001,Monplaisir,6,neuf,1,360800
100,5,0,0,5,1990,Presqu'île,0,à rénover,1,614000
33,1,15,1,8,1958,Monplaisir,10,à rénover,0,192500
19,1,9,1,6,1961,Croix-Rousse,3,bon,0,130500
39,2,6,0,7,2019,Confluence,7,neuf,1,295800
43,2,13,1,5,1995,Part-Dieu,13,bon,1,319300
55,2,7,0,4,1910,Presqu'île,3,bon,0,361000
54,2,2,0,7,1971,Vieux Lyon,5,bon,1,362800
88,3,13,1,7,1971,Monplaisir,2,bon,0,547100
40,2,15,0,8,1911,Vieux Lyon,3,bon,0,246500
51,2,6,0,4,1951,Presqu'île,4,bon,0,350100
18,1,14,1,2,2002,Part-Dieu,11,bon,1,161800
56,2,15,1,6,2015,Part-Dieu,11,bon,1,419200
73,4,4,0,7,2025,Confluence,8,neuf,1,521500
78,4,8,1,7,1947,Croix-Rousse,4,à rénover,0,440500
19,1,10,0,9,1948,Monplaisir,0,bon,0,109700
67,3,1,0,9,1999,Confluence,1,neuf,1,451100
111,4,5,0,7,2019,Part-Dieu,5,bon,1,736400
66,3,14,1,6,1925,Croix-Rousse,8,bon,0,435300
72,3,11,1,2,1990,Presqu'île,6,neuf,1,572500
56,2,13,1,4,1997,Part-Dieu,8,bon,1,398200
41,2,7,0,5,1920,Vieux Lyon,0,bon,0,254200
47,2,10,0,4,1961,Vieux Lyon,4,bon,0,307500
26,1,1,0,10,2025,Confluence,7,neuf,1,200300
129,7,8,0,6,1985,Part-Dieu,0,bon,1,816500
22,1,4,0,8,2012,Monplaisir,3,bon,1,149900
44,2,13,0,6,1939,Vieux Lyon,3,neuf,0,310300
55,3,10,0,7,1973,Vieux Lyon,1,à rénover,0,316600
68,3,9,0,6,1944,Presqu'île,2,bon,0,464700
179,7,4,1,6,1959,Croix-Rousse,3,bon,0,1146200
27,1,3,0,6,1974,Vieux Lyon,2,à rénover,0,148600
78,3,15,1,5,1941,Presqu'île,9,à rénover,0,488900
41,2,8,0,9,2011,Confluence,6,bon,0,277600
84,3,14,1,8,1971,Monplaisir,1,neuf,1,574800
54,2,14,0,6,1994,Part-Dieu,6,bon,1,380000
24,1,3,0,12,1975,Croix-Rousse,0,bon,1,160200
47,2,0,0,6,1995,Monplaisir,7,neuf,0,309000
23,1,10,0,6,1984,Part-Dieu,5,bon,1,172400
88,4,3,0,4,1952,Presqu'île,0,bon,0,584600
36,1,3,0,5,1963,Monplaisir,6,bon,0,212300
18,1,2,0,4,2005,Part-Dieu,2,neuf,0,125500
66,3,3,0,11,1982,Confluence,3,bon,1,411400
36,2,0,0,5,1911,Vieux Lyon,1,à rénover,0,183200
36,2,14,0,3,2007,Part-Dieu,8,bon,1,271200
65,3,10,1,5,1987,Presqu'île,7,bon,0,476900
42,2,8,1,6,1950,Presqu'île,4,bon,0,293700
64,3,5,0,8,1990,Monplaisir,0,neuf,1,421000
40,2,11,0,6,1971,Vieux Lyon,10,bon,1,297300
92,4,9,0,6,1959,Vieux Lyon,2,bon,0,589100
38,2,4,0,5,1965,Part-Dieu,0,bon,0,227000
76,4,3,0,6,1924,Presqu'île,7,à rénover,0,433900
73,4,4,0,3,2007,Presqu'île,4,neuf,1,587200
129,7,9,0,4,1886,Vieux Lyon,2,bon,0,781400
44,2,3,0,4,2013,Part-Dieu,6,bon,1,311100
36,2,10,0,8,1976,Croix-Rousse,8,bon,0,243100
18,1,12,0,5,1954,Part-Dieu,2,neuf,1,141600
34,2,9,0,4,1970,Part-Dieu,5,à rénover,1,206800
74,4,0,0,7,1951,Monplaisir,4,bon,0,422500
56,3,12,0,6,2005,Part-Dieu,5,neuf,1,422400
69,4,14,0,9,1994,Vieux Lyon,11,bon,1,491700
47,2,9,0,7,1998,Monplaisir,0,à rénover,0,251300
34,2,12,1,4,1990,Part-Dieu,6,bon,0,236900
52,3,11,0,8,1955,Vieux Lyon,6,à rénover,0,296600
54,3,13,0,5,1962,Part-Dieu,4,bon,0,346100
33,1,14,1,9,1976,Croix-Rousse,3,à rénover,0,200000
52,2,14,1,4,1974,Presqu'île,7,neuf,1,427400
52,2,10,0,8,1980,Confluence,3,neuf,1,373600
27,1,1,0,8,1992,Croix-Rousse,3,à rénover,1,162500
18,1,14,0,7,1933,Croix-Rousse,5,bon,0,123000
26,1,11,1,7,1991,Monplaisir,13,bon,1,199300
93,4,5,1,7,2001,Monplaisir,6,neuf,1,623700
50,2,2,0,5,1980,Presqu'île,0,à rénover,0,298200
144,7,5,0,8,2000,Monplaisir,2,bon,1,889700
47,2,13,1,6,1978,Monplaisir,6,bon,0,307100
87,3,12,1,6,1955,Vieux Lyon,0,à rénover,0,508900
42,2,15,0,10,1932,Croix-Rousse,4,bon,0,276100
18,1,11,0,7,1967,Monplaisir,0,à rénover,1,104300
94,5,13,0,9,1930,Croix-Rousse,6,bon,0,599800
38,2,1,0,5,1947,Vieux Lyon,1,à rénover,0,202400
40,2,12,0,1,1944,Part-Dieu,0,à rénover,0,224900
66,3,10,1,10,1956,Croix-Rousse,4,à rénover,0,364300
22,1,13,0,9,1954,Monplaisir,7,à rénover,0,117300
41,2,7,0,6,1961,Part-Dieu,0,bon,0,248400
65,3,0,0,5,2021,Part-Dieu,0,bon,1,433900
31,1,13,1,6,1967,Vieux Lyon,8,à rénover,0,194300
48,2,11,1,7,1935,Croix-Rousse,5,bon,0,322700
21,1,2,0,7,1974,Croix-Rousse,3,à rénover,1,133300
63,3,9,0,5,1963,Part-Dieu,0,à rénover,1,361600
35,2,6,1,5,1943,Monplaisir,8,bon,0,217600
35,2,10,0,10,1938,Croix-Rousse,4,bon,0,222700
72,3,4,0,6,1971,Presqu'île,0,neuf,0,524200
48,2,4,0,7,1963,Part-Dieu,0,neuf,1,313700
38,2,6,0,4,2001,Part-Dieu,2,bon,0,243200
110,5,9,1,6,1977,Monplaisir,3,bon,1,693400
35,2,5,1,7,1928,Croix-Rousse,5,bon,0,222600
69,3,9,0,6,1983,Monplaisir,9,neuf,1,490600
32,2,5,1,5,1992,Part-Dieu,4,bon,1,222700
60,3,8,0,5,1945,Croix-Rousse,4,à rénover,0,337700
60,2,6,0,6,1895,Vieux Lyon,3,neuf,0,385500
38,2,8,0,7,1922,Monplaisir,2,neuf,0,235500
41,2,6,0,5,1967,Monplaisir,5,bon,0,245300
48,2,1,0,10,1964,Confluence,0,à rénover,1,249100
105,6,7,1,3,1944,Presqu'île,0,bon,0,728700
